"x","y","trans","vol","min","max","bath","date","site"
-21.5,149.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-20.5,149.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-19.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-18.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-17.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-16.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-15.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-14.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-13.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-12.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-11.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-10.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-9.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-8.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-7.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-6.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-5.5,149.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-4.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-3.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-2.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-1.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-0.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
0.5,149.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
1.5,149.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
2.5,149.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
3.5,149.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
4.5,149.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
5.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
6.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
7.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
8.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
9.5,149.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
10.5,149.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
11.5,149.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
12.5,149.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
-21.5,148.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-20.5,148.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-19.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-18.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-17.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-16.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-15.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-14.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-13.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-12.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-11.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-10.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-9.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-8.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-7.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-6.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-5.5,148.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-4.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-3.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-2.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-1.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-0.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
0.5,148.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
1.5,148.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
2.5,148.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
3.5,148.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
4.5,148.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
5.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
6.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
7.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
8.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
9.5,148.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
10.5,148.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
11.5,148.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
12.5,148.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
-21.5,147.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-20.5,147.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-19.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-18.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-17.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-16.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-15.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-14.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-13.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-12.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-11.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-10.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-9.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-8.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-7.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-6.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-5.5,147.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-4.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-3.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-2.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-1.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-0.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
0.5,147.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
1.5,147.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
2.5,147.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
3.5,147.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
4.5,147.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
5.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
6.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
7.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
8.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
9.5,147.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
10.5,147.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
11.5,147.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
-22.5,146.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-21.5,146.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-20.5,146.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-19.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-18.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-17.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-16.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-15.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-14.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-13.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-12.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-11.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-10.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-9.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-8.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-7.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-6.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-5.5,146.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-4.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-3.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-2.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-1.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-0.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
0.5,146.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
1.5,146.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
2.5,146.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
3.5,146.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
4.5,146.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
5.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
6.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
7.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
8.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
9.5,146.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
10.5,146.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
11.5,146.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
-22.5,145.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-21.5,145.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-20.5,145.5,"1",0,NA,NA,27.43862,"26-09-2019","JDN"
-19.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-18.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-17.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-16.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-15.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-14.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-13.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-12.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-11.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-10.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-9.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-8.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-7.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-6.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-5.5,145.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-4.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-3.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-2.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-1.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
-0.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
0.5,145.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
1.5,145.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
2.5,145.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
3.5,145.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
4.5,145.5,"1",0,NA,NA,27.411685,"26-09-2019","JDN"
5.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
6.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
7.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
8.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
9.5,145.5,"1",0,NA,NA,27.42114,"26-09-2019","JDN"
10.5,145.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
11.5,145.5,"1",0,NA,NA,27.49466,"26-09-2019","JDN"
-22.5,144.5,"1",0,NA,NA,27.43976,"26-09-2019","JDN"
-21.5,144.5,"1",0,NA,NA,27.43976,"26-09-2019","JDN"
-20.5,144.5,"1",0,NA,NA,27.43976,"26-09-2019","JDN"
-19.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-18.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-17.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-16.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-15.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-14.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-13.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-12.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-11.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-10.5,144.5,"1",0,NA,NA,27.42449,"26-09-2019","JDN"
-9.5,144.5,"1",0,NA,NA,27.428175,"26-09-2019","JDN"
-8.5,144.5,"1",0,NA,NA,27.428175,"26-09-2019","JDN"
-7.5,144.5,"1",0,NA,NA,27.428175,"26-09-2019","JDN"
-6.5,144.5,"1",0,NA,NA,27.428175,"26-09-2019","JDN"
-5.5,144.5,"1",0,NA,NA,27.428175,"26-09-2019","JDN"
-4.5,144.5,"1",0,NA,NA,27.455965,"26-09-2019","JDN"
-3.5,144.5,"1",0,NA,NA,27.455965,"26-09-2019","JDN"
